"id","entidad_federativa","municipio"
"7560","09","277"
"7570","09","277"
"7580","09","277"
"7600","09","277"
"7620","09","277"
"7630","09","277"
"7640","09","277"
"7650","09","277"
"7660","09","277"
"7670","09","277"
"7680","09","277"
"7700","09","277"
"7707","09","277"
"7708","09","277"
"7709","09","277"
"7710","09","277"
"7720","09","277"
"7730","09","277"
"7738","09","277"
"7739","09","277"
"7740","09","277"
"7750","09","277"
"7754","09","277"
"7755","09","277"
"7760","09","277"
"7770","09","277"
"7780","09","277"
"7790","09","277"
"7800","09","277"
"7810","09","277"
"7820","09","277"
"7830","09","277"
"7838","09","277"
"7839","09","277"
"7840","09","277"
"7850","09","277"
"7858","09","277"
"7859","09","277"
"7860","09","277"
"7869","09","277"
"7870","09","277"
"7880","09","277"
"7889","09","277"
"7890","09","277"
"7899","09","277"
"7900","09","277"
"7909","09","277"
"7910","09","277"
"7918","09","277"
"7919","09","277"
"7920","09","277"
"7930","09","277"
"7939","09","277"
"7940","09","277"
"7950","09","277"
"7958","09","277"
"7959","09","277"
"7960","09","277"
"7969","09","277"
"7970","09","277"
"7979","09","277"
"7980","09","277"
"7990","09","277"
"8000","09","278"
"8009","09","278"
"8010","09","278"
"8020","09","278"
"8029","09","278"
"8030","09","278"
"8040","09","278"
"8100","09","278"
"8160","09","278"
"8170","09","278"
"8180","09","278"
"8188","09","278"
"8189","09","278"
"8200","09","278"
"8210","09","278"
"8220","09","278"
"8230","09","278"
"8240","09","278"
"8300","09","278"
"8310","09","278"
"8320","09","278"
"8400","09","278"
"8420","09","278"
"8500","09","278"
"8510","09","278"
"8520","09","278"
"8560","09","278"
"8580","09","278"
"8600","09","278"
"8610","09","278"
"8619","09","278"
"8620","09","278"
"8650","09","278"
"8700","09","278"
"8710","09","278"
"8720","09","278"
"8730","09","278"
"8760","09","278"
"8770","09","278"
"8800","09","278"
"8810","09","278"
"8820","09","278"
"8830","09","278"
"8840","09","278"
"8900","09","278"
"8910","09","278"
"8920","09","278"
"8930","09","278"
"9000","09","279"
"9009","09","279"
"9010","09","279"
"9020","09","279"
"9030","09","279"
"9040","09","279"
"9060","09","279"
"9070","09","279"
"9080","09","279"
"9089","09","279"
"9090","09","279"
"9099","09","279"
"9100","09","279"
"9110","09","279"
"9120","09","279"
"9130","09","279"
"9140","09","279"
"9150","09","279"
"9160","09","279"
"9170","09","279"
"9180","09","279"
"9200","09","279"
"9207","09","279"
"9208","09","279"
"9209","09","279"
"9210","09","279"
"9219","09","279"
"9220","09","279"
"9226","09","279"
"9227","09","279"
"9228","09","279"
"9229","09","279"
"9230","09","279"
"9233","09","279"
"9239","09","279"
"9240","09","279"
"9249","09","279"
"9250","09","279"
"9260","09","279"
"9270","09","279"
"9280","09","279"
"9290","09","279"
"9300","09","279"
"9310","09","279"
"9319","09","279"
"9320","09","279"
"9330","09","279"
"9350","09","279"
"9359","09","279"
"9360","09","279"
"9366","09","279"
"9368","09","279"
"9369","09","279"
"9400","09","279"
"9410","09","279"
"9420","09","279"
"9429","09","279"
"9430","09","279"
"9437","09","279"
"9438","09","279"
"9440","09","279"
"9450","09","279"
"9460","09","279"
"9470","09","279"
"9479","09","279"
"9480","09","279"
"9500","09","279"
"9510","09","279"
"9519","09","279"
"9520","09","279"
"9530","09","279"
"9550","09","279"
"9560","09","279"
"9570","09","279"
"9577","09","279"
"9578","09","279"
"9579","09","279"
"9600","09","279"
"9608","09","279"
"9609","09","279"
"9620","09","279"
"9630","09","279"
"9637","09","279"
"9638","09","279"
"9640","09","279"
"9648","09","279"
"9660","09","279"
"9670","09","279"
"9680","09","279"
"9689","09","279"
"9690","09","279"
"9696","09","279"
"9698","09","279"
"9700","09","279"
"9704","09","279"
"9705","09","279"
"9706","09","279"
"9708","09","279"
"9709","09","279"
"9710","09","279"
"9719","09","279"
"9720","09","279"
"9730","09","279"
"9740","09","279"
"9750","09","279"
"9759","09","279"
"9760","09","279"
"9767","09","279"
"9768","09","279"
"9769","09","279"
"9770","09","279"
"9779","09","279"
"9780","09","279"
"9789","09","279"
"9790","09","279"
"9800","09","279"
"9809","09","279"
"9810","09","279"
"9819","09","279"
"9820","09","279"
"9828","09","279"
"9829","09","279"
"9830","09","279"
"9836","09","279"
"9837","09","279"
"9838","09","279"
"9839","09","279"
"9840","09","279"
"9849","09","279"
"9850","09","279"
"9856","09","279"
"9857","09","279"
"9858","09","279"
"9859","09","279"
"9860","09","279"
"9864","09","279"
"9868","09","279"
"9869","09","279"
"9870","09","279"
"9880","09","279"
"9885","09","279"
"9889","09","279"
"9890","09","279"
"9897","09","279"
"9898","09","279"
"9899","09","279"
